Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2019 [YR2019]
Marshall Islands,MHL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,44.2421883505716,37.0618720480893
Mauritania,MRT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,30.1951447553349,42.3975240406607
Mauritius,MUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,64.5652688880706,60.3459360407147
Mexico,MEX,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,34.1627726873238,38.5296507920009
"Micronesia, Fed. Sts.",FSM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.7262783827311,26.6497461928934
Moldova,MDA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.8069217883307,31.1910849579769
Monaco,MCO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Mongolia,MNG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,44.1840502346828,59.2172331806539
Montenegro,MNE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,42.7283879053238,44.3238379207013
Morocco,MAR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.9958538899695,34.093057468891
Mozambique,MOZ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,32.5722935328402,37.1420563608323
Myanmar,MMR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Namibia,NAM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,35.3708484097637,36.4008818615818
Nauru,NRU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,71.5686274509804,60.3950285714286
Nepal,NPL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.2145885930146,7.7799364745157
Netherlands,NLD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,83.9918475345943,85.3209394926528
New Caledonia,NCL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.0691662889356,18.3293636025743
New Zealand,NZL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.9337478332662,27.3298341875002
